pl_name,hostname,lc_summary
BD+20 594 b,BD+20 594,K2 | BD+20 594 b | P=41.6886 d | dur=n/a | depth≈0.0509% (~509 ppm) | disp=CONFIRMED
BD+20 594 b,BD+20 594,K2 | BD+20 594 b | P=41.6855 d | dur=n/a | depth≈0.0484% (~484 ppm) | disp=CONFIRMED
BD+20 594 b,BD+20 594,K2 | BD+20 594 b | P=41.6855 d | dur=n/a | depth≈0.0478% (~478 ppm) | disp=CONFIRMED
EPIC 201111557.01,EPIC 201111557,K2 | EPIC 201111557.01 | P=2.30237 d | dur=n/a | depth≈0.0286% (~286 ppm) | disp=CANDIDATE
EPIC 201111557.01,EPIC 201111557,K2 | EPIC 201111557.01 | P=2.30183 d | dur=n/a | depth≈0.0181% (~181 ppm) | disp=CANDIDATE
BD+20 594 b,BD+20 594,K2 | BD+20 594 b | P=41.6886 d | dur=n/a | depth≈0.0509% (~509 ppm) | disp=CONFIRMED
BD+20 594 b,BD+20 594,K2 | BD+20 594 b | P=41.6855 d | dur=n/a | depth≈0.0484% (~484 ppm) | disp=CONFIRMED
BD+20 594 b,BD+20 594,K2 | BD+20 594 b | P=41.6855 d | dur=n/a | depth≈0.0478% (~478 ppm) | disp=CONFIRMED
EPIC 201111557.01,EPIC 201111557,K2 | EPIC 201111557.01 | P=2.30237 d | dur=n/a | depth≈0.0286% (~286 ppm) | disp=CANDIDATE
EPIC 201111557.01,EPIC 201111557,K2 | EPIC 201111557.01 | P=2.30183 d | dur=n/a | depth≈0.0181% (~181 ppm) | disp=CANDIDATE
BD+20 594 b,BD+20 594,K2 | BD+20 594 b | P=41.6886 d | dur=n/a | depth≈0.0509% (~509 ppm) | disp=CONFIRMED
BD+20 594 b,BD+20 594,K2 | BD+20 594 b | P=41.6855 d | dur=n/a | depth≈0.0484% (~484 ppm) | disp=CONFIRMED
BD+20 594 b,BD+20 594,K2 | BD+20 594 b | P=41.6855 d | dur=n/a | depth≈0.0478% (~478 ppm) | disp=CONFIRMED
EPIC 201111557.01,EPIC 201111557,K2 | EPIC 201111557.01 | P=2.30237 d | dur=n/a | depth≈0.0286% (~286 ppm) | disp=CANDIDATE
EPIC 201111557.01,EPIC 201111557,K2 | EPIC 201111557.01 | P=2.30183 d | dur=n/a | depth≈0.0181% (~181 ppm) | disp=CANDIDATE
